Date,Precipitation,TempAvg,TempMin,TempMax,Bici,Edad_Usuario,n_CO,n_UVA,n_UVB
2019-07-02,0.0,64,56,76,30315,35.18459508494145,9.7625,20.729181818181818,20.729181818181818
2019-07-03,0.31,62,54,74,31490,35.0080342966021,9.109374999999998,21.271454545454546,21.271454545454546
2019-07-04,0.0,68,,,11488,35.366556406685234,5.162499999999999,22.252,22.252
2019-07-05,0.43,67,,,32105,34.981529356798006,7.418749999999999,16.03063636363636,16.03063636363636
2019-07-06,0.0,67,57,83,24479,35.21177335675477,11.084375,16.461454545454547,16.461454545454547
2019-07-07,0.43,60,,,11205,35.23900044622936,3.5937500000000004,23.479090909090907,23.479090909090907
2019-07-08,0.0,68,55,82,26972,34.99291858223343,6.015625,14.67227272727273,14.67227272727273
2019-07-09,0.31,61,54,79,12008,35.17055296469021,5.24375,18.53781818181818,18.53781818181818
2019-07-10,0.0,67,58,81,,,3.8406250000000006,19.232818181818182,19.232818181818182
2019-07-11,0.06,62,57,77,,,4.846875,19.74263636363636,19.74263636363636
2019-07-12,0.0,63,55,73,,,6.71875,16.58909090909091,16.58909090909091
2019-07-13,,64,,,10622,35.15336094897383,4.696875,14.984909090909092,14.984909090909092
2019-07-14,,66,,,10024,35.46358739026337,5.390625,17.352545454545456,17.352545454545456
2019-07-15,0.23,66,55,80,27899,35.05071866375139,5.718749999999999,20.87245454545455,20.87245454545455
2019-07-16,0.09,65,58,81,29159,35.005247093521724,3.809374999999999,21.34490909090909,21.34490909090909
2019-07-17,0.03,65,55,80,29798,34.984160010738975,5.1812499999999995,14.442454545454545,14.442454545454545
2019-07-18,0.0,66,55,74,23946,35.217906957320636,3.978124999999999,18.929454545454547,18.929454545454547
2019-07-19,1.34,66,55,79,25177,35.09635778686897,5.74375,18.102909090909098,18.102909090909098
2019-07-20,0.0,66,,,11742,35.5402827456992,4.909374999999999,18.186999999999998,18.186999999999998
2019-07-21,0.25,67,55,78,10205,35.3046545810877,4.421875,16.09372727272727,16.09372727272727
2019-07-22,0.0,67,,,28012,34.92406825646152,5.4437500000000005,20.915090909090903,20.915090909090903
2019-07-23,0.0,67,54,77,26020,35.068831667947734,4.7906249999999995,19.045272727272724,19.045272727272724
2019-07-24,0.22,63,55,76,28377,34.88219332558057,5.8125,15.852272727272727,15.852272727272727
2019-07-25,0.0,61,55,74,18169,35.10385822004513,7.325,10.702454545454545,10.702454545454545
2019-07-26,0.62,60,54,70,19847,35.2485010329017,6.4312499999999995,12.05318181818182,12.05318181818182
2019-07-27,0.0,63,,,11926,35.04075129968137,4.500000000000001,17.720181818181814,17.720181818181814
